Contact	Overhead
35500	507.31081081081084
14000	273.58
39600	517.8395061728395
18100	324.92857142857144
43700	532.6628352490421
22200	376.07142857142856
47800	560.9448529411765
700	125.4
26300	424.3316062176166
51900	575.5156794425087
4800	138.1829268292683
30400	474.8267326732673
56000	587.2013201320132
8900	193.848
34500	501.9357798165138
13000	253.75675675675674
38600	517.6371308016878
17100	308.26506024096386
42700	528.3268482490272
21200	361.26666666666665
46800	555.9402985074627
25300	412.96315789473687
50900	570.3838028169014
3800	113.35714285714286
29400	461.0547263681592
55000	588.3670033670033
7900	184.17543859649123
33500	488.7695852534562
12000	240.61267605633802
37600	508.06808510638297
16100	300.9308176100629
41700	521.5354330708661
20200	345.5698324022346
45800	550.2339622641509
24300	402.0
49900	567.3392857142857
2800	95.16666666666667
28400	447.7437185929648
54000	584.625850340136
6900	163.41284403669724
32500	485.2688679245283
58100	581.0534591194969
11000	228.26666666666668
36600	496.508547008547
15100	287.1483870967742
40700	523.3562753036438
19200	342.9823529411765
44800	539.3977272727273
23300	389.18918918918916
48900	564.5108695652174
1800	98.66666666666667
27400	436.25
53000	579.2680412371134
5900	145.5
31500	481.1207729468599
57100	585.1290322580645
10000	217.046875
35600	506.5695067264574
14100	273.50993377483445
39700	519.2962962962963
18200	325.11242603550295
43800	529.6920152091254
22300	377.97802197802196
47900	561.8676470588235
800	100.75
26400	426.1658031088083
52000	576.2926829268292
4900	141.9268292682927
30500	476.7722772277228
56100	586.1842105263158
9000	196.24
34600	500.972602739726
13100	255.8716216216216
38700	516.8823529411765
17200	310.6807228915663
42800	529.4046692607004
21300	363.0777777777778
46900	555.360594795539
25400	414.89473684210526
51000	571.5176056338029
3900	117.14084507042253
29500	462.53731343283584
55100	587.6510067114094
8000	183.31034482758622
33600	490.5806451612903
12100	239.625
37700	509.5148936170213
16200	302.84276729559747
41800	520.6705882352941
20300	347.30167597765364
45900	549.1428571428571
24400	403.8449197860963
50000	568.575
2900	97.6
28500	449.8994974874372
54100	585.6972789115646
7000	165.9908256880734
32600	484.61971830985914
58200	582.0345911949686
11100	229.00735294117646
36700	497.6709401709402
15200	287.80128205128204
40800	522.4516129032259
19300	342.906432748538
44900	540.7916666666666
23400	390.84324324324325
49000	565.4891304347826
1900	93.82352941176471
27500	434.010101010101
53100	580.3883161512027
6000	147.44554455445544
31600	482.68599033816423
57200	584.2057877813505
10100	219.578125
35700	503.76
14200	275.49668874172187
39800	520.440329218107
18300	325.2647058823529
43900	530.9505703422053
22400	379.5824175824176
48000	563.0514705882352
900	101.6
26500	425.62371134020617
52100	575.2673611111111
5000	140.41176470588235
30600	478.35643564356434
56200	587.3618421052631
9100	196.87301587301587
34700	500.25454545454545
13200	258.2567567567568
38800	516.0167364016736
17300	312.8192771084337
42900	530.5914396887159
21400	365.02222222222224
47000	556.8401486988847
25500	415.0261780104712
51100	572.4014084507043
4000	122.01408450704226
29600	464.1592039800995
55200	588.6442953020135
8100	185.72413793103448
33700	492.42857142857144
12200	239.84137931034482
37800	508.73728813559325
16300	302.69375
41900	522.1411764705882
20400	348.85474860335194
46000	550.687969924812
24500	405.7967914438503
50100	567.491103202847
3000	95.28813559322033
28600	451.66331658291455
54200	586.4557823129252
7100	167.3090909090909
32700	483.75233644859816
58300	582.9528301886793
11200	229.83941605839416
36800	499.008547008547
