Contact	DeliveryPercentage	OverheadRatio	AvgLatency	TotalForwards
31300	26.640926640926644	588.0193236714975	778.4579710194454	127.50450450450451
31400	26.53846153846154	590.2801932367149	778.4579710194454	127.50641025641026
31500	26.47058823529412	592.2946859903382	778.4579710194454	127.62020460358056
31600	26.369426751592357	594.2028985507246	778.4579710194454	127.5452229299363
31700	26.30241423125794	596.1787439613527	778.4579710194454	127.63913595933926
31800	26.362484157160964	595.0721153846154	780.2365384661814	127.69074778200253
31900	26.295828065739567	596.9471153846154	780.2365384661814	127.76106194690266
32000	26.322418136020154	596.1004784688995	787.4258373248998	127.72166246851386
32100	26.223337515683813	598.2344497607655	787.4258373248998	127.7051442910916
32200	26.125	600.0765550239234	787.4258373248998	127.60625
32300	26.059850374064837	601.9856459330143	787.4258373248998	127.69077306733168
32400	26.119402985074625	601.0714285714286	789.1695238135126	127.78358208955224
32500	26.270136307311027	597.4150943396227	806.7372641542639	127.74349442379182
32600	26.296296296296294	596.5492957746479	805.1929577494662	127.7
32700	26.354679802955665	595.4766355140187	804.4542056101263	127.75492610837438
32800	26.289926289926292	597.1822429906542	804.4542056101263	127.79729729729729
32900	26.47058823529412	593.7824074074074	803.5245370390055	127.94607843137256
33000	26.373626373626376	595.6342592592592	803.5245370390055	127.86568986568986
33100	26.431181485992695	594.6728110599079	803.2944700477027	127.92813641900122
33200	26.33495145631068	596.3778801843318	803.2944700477027	127.82645631067962
33300	26.27118644067797	598.1612903225806	803.2944700477027	127.88740920096852
33400	26.207729468599034	599.9447004608295	803.2944700477027	127.95169082125604
33500	26.144578313253014	601.8433179723502	803.2944700477027	128.04819277108433
33600	26.05042016806723	604.0322580645161	803.2944700477027	128.05882352941177
33700	25.95693779904306	606.2119815668203	803.2944700477027	128.07894736842104
33800	25.894988066825775	607.852534562212	803.2944700477027	128.11336515513128
33900	25.802615933412604	609.9078341013825	803.2944700477027	128.0975029726516
34000	25.741399762752078	611.6036866359447	803.2944700477027	128.14590747330962
34100	25.65011820330969	613.5483870967741	803.2944700477027	128.096926713948
34200	25.589622641509436	615.2764976958525	803.2944700477027	128.14622641509433
34300	25.647058823529413	614.2706422018349	812.1224770654363	128.22235294117647
34400	25.586854460093893	616.151376146789	812.1224770654363	128.32042253521126
34500	25.526932084309134	617.9082568807339	812.1224770654363	128.38407494145198
34600	25.55425904317386	616.7351598173516	833.4789954345948	128.27537922987165
34700	25.611175785797442	615.8363636363637	845.6768181822101	128.37718277066355
34800	25.551684088269454	617.4454545454546	845.6768181822101	128.41463414634146
34900	25.492468134414832	619.209090909091	845.6768181822101	128.486674391657
35000	25.43352601156069	621.2181818181818	845.6768181822101	128.61156069364162
35100	25.34562211981567	622.959090909091	845.6768181822101	128.52304147465438
35200	25.37313432835821	622.027149321267	857.310407239779	128.46268656716418
35300	25.286041189931353	623.9276018099547	857.310407239779	128.4141876430206
35400	25.34246575342466	622.9099099099099	864.4076576571796	128.48972602739727
35500	25.25597269624573	624.5450450450451	864.4076576571796	128.37883959044368
35600	25.312145289443816	623.6322869955156	877.2843049318143	128.4767309875142
35700	25.452488687782804	620.1422222222222	903.9733333315249	128.4739819004525
35800	25.395033860045146	621.8	903.9733333315249	128.53498871331828
35900	25.33783783783784	623.2622222222222	903.9733333315249	128.53153153153153
36000	25.252525252525253	624.8	903.9733333315249	128.41077441077442
36100	25.195968645016798	626.5777777777778	903.9733333315249	128.50055991041432
36200	25.363128491620113	622.8458149779735	937.0061673981592	128.5832402234637
36300	25.612472160356347	616.6391304347826	959.6060869524513	128.55345211581292
36400	25.77777777777778	613.176724137931	955.820258615727	128.67111111111112
